DataHora,Jogador,Categoria,Ano_Temporada,Competicao,Colunas_Metricas,Valores
2026-09-15T18:18:40.952Z,André Clóvis,Defendendo,24/25,Liga Portugal 2,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,32 | 1 | 3 | 1 | 0 | 9 | 11 | 5 | - | 41
2026-09-15T18:18:40.999Z,André Clóvis,Defendendo,23/24,Total do Ano,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,33 | 3 | 4 | 1 | 0 | 8 | 16 | 8 | 3 | 49
2026-09-15T18:18:41.064Z,André Clóvis,Defendendo,23/24,Liga Portugal 2,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,33 | 3 | 4 | 1 | 0 | 8 | 16 | 8 | 3 | 49
2026-09-15T18:18:41.110Z,André Clóvis,Defendendo,22/23,Total do Ano,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,4 | 0 | 2 | 0 | 0 | 0 | 2 | 0 | - | 8
2026-09-15T18:18:41.174Z,André Clóvis,Defendendo,22/23,Liga Portugal 2,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,2 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | - | 5
2026-09-15T18:18:41.225Z,André Clóvis,Defendendo,22/23,Taça da Liga,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,2 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | - | 3
2026-09-15T18:18:41.316Z,André Clóvis,Defendendo,21/22,Total do Ano,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,23 | 0 | 0 | 0 | 0 | 4 | 5 | 6 | 2 | 20
2026-09-15T18:18:41.384Z,André Clóvis,Defendendo,21/22,Liga Portugal Betclic,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,23 | 0 | 0 | 0 | 0 | 4 | 5 | 6 | 2 | 20
2026-09-15T18:18:41.466Z,André Clóvis,Defendendo,20/21,Total do Ano,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | - | 3
2026-09-15T18:18:41.529Z,André Clóvis,Defendendo,20/21,Taça de Portugal,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | - | 3
2026-09-15T18:18:41.608Z,André Clóvis,Defendendo,17/18,Total do Ano,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | - | -
2026-09-15T18:18:41.678Z,André Clóvis,Defendendo,17/18,Liga Portugal Betclic,MP | CLS | YC | RC | ELTG | DRP | TACK | INT | BLS | ADW,1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | - | -
2026-09-15T18:18:42.699Z,André Clóvis,Adicional,26/27,Total do Ano,MP | GLS | XG | AST | XA | GI | XGI,6 | 2 | 1.78 | 0 | 0.07 | 2 | 1.85
2026-09-15T18:18:42.826Z,André Clóvis,Adicional,26/27,Liga Portugal Betclic,MP | GLS | XG | AST | XA | GI | XGI,6 | 2 | 1.78 | 0 | 0.07 | 2 | 1.85
2026-09-15T18:18:42.913Z,André Clóvis,Adicional,25/26,Total do Ano,MP | GLS | XG | AST | XA | GI | XGI,34 | 23 | - | 2 | - | 25 | -
2026-09-15T18:18:43.007Z,André Clóvis,Adicional,25/26,Liga Portugal 2,MP | GLS | XG | AST | XA | GI | XGI,34 | 23 | - | 2 | - | 25 | -
2026-09-15T18:18:43.122Z,André Clóvis,Adicional,24/25,Total do Ano,MP | GLS | XG | AST | XA | GI | XGI,32 | 7 | - | 1 | - | 8 | -
2026-09-15T18:18:43.241Z,André Clóvis,Adicional,24/25,Liga Portugal 2,MP | GLS | XG | AST | XA | GI | XGI,32 | 7 | - | 1 | - | 8 | -
2026-09-15T18:18:43.332Z,André Clóvis,Adicional,23/24,Total do Ano,MP | GLS | XG | AST | XA | GI | XGI,33 | 12 | - | 0 | - | 12 | -
2026-09-15T18:18:43.403Z,André Clóvis,Adicional,23/24,Liga Portugal 2,MP | GLS | XG | AST | XA | GI | XGI,33 | 12 | - | 0 | - | 12 | -
2026-09-15T18:18:43.522Z,André Clóvis,Adicional,22/23,Total do Ano,MP | GLS | XG | AST | XA | GI | XGI,4 | 3 | - | 0 | - | 3 | -
2026-09-15T18:18:43.653Z,André Clóvis,Adicional,22/23,Liga Portugal 2,MP | GLS | XG | AST | XA | GI | XGI,2 | 3 | - | 0 | - | 3 | -
2026-09-15T18:18:43.788Z,André Clóvis,Adicional,22/23,Taça da Liga,MP | GLS | XG | AST | XA | GI | XGI,2 | 0 | - | 0 | - | 0 | -
2026-09-15T18:18:43.880Z,André Clóvis,Adicional,21/22,Total do Ano,MP | GLS | XG | AST | XA | GI | XGI,23 | 1 | - | 1 | - | 2 | -
2026-09-15T18:18:43.960Z,André Clóvis,Adicional,21/22,Liga Portugal Betclic,MP | GLS | XG | AST | XA | GI | XGI,23 | 1 | - | 1 | - | 2 | -
2026-09-15T18:18:50.259Z,Thauan Lara,Geral,26/27,Total do Ano,MP | MIN | GLS | AST | ASR,3 | 29 | 0 | 0 | 6.70
2026-09-15T18:18:50.367Z,Thauan Lara,Geral,26/27,Liga Portugal 2,MP | MIN | GLS | AST | ASR,3 | 29 | 0 | 0 | 6.70
2026-09-15T18:18:50.456Z,Thauan Lara,Geral,25/26,Total do Ano,MP | MIN | GLS | AST | ASR,21 | 1340 | 2 | 3 | 6.89
2026-09-15T18:18:50.532Z,Thauan Lara,Geral,25/26,Liga Portugal 2,MP | MIN | GLS | AST | ASR,18 | 1122 | 2 | 3 | 6.89
2026-09-15T18:18:50.612Z,Thauan Lara,Geral,25/26,U23 Liga Next Gen,MP | MIN | GLS | AST | ASR,3 | 218 | 0 | 0 | -
2026-09-15T18:18:50.689Z,Thauan Lara,Geral,24/25,Total do Ano,MP | MIN | GLS | AST | ASR,18 | 1006 | 0 | 2 | 7.06
2026-09-15T18:18:50.774Z,Thauan Lara,Geral,24/25,Liga Portugal 2,MP | MIN | GLS | AST | ASR,18 | 1006 | 0 | 2 | 7.06
2026-09-15T18:18:50.838Z,Thauan Lara,Geral,2024,Total do Ano,MP | MIN | GLS | AST | ASR,2 | 174 | 0 | 0 | 6.80
2026-09-15T18:18:50.910Z,Thauan Lara,Geral,2024,Copa do Nordeste,MP | MIN | GLS | AST | ASR,1 | 84 | 0 | 0 | 6.90
2026-09-15T18:18:50.977Z,Thauan Lara,Geral,2024,Gaúcho,MP | MIN | GLS | AST | ASR,1 | 90 | 0 | 0 | 6.70
2026-09-15T18:18:51.061Z,Thauan Lara,Geral,2023,Total do Ano,MP | MIN | GLS | AST | ASR,19 | 894 | 0 | 0 | 6.69
2026-09-15T18:18:51.126Z,Thauan Lara,Geral,2023,Brasileirão Betano,MP | MIN | GLS | AST | ASR,10 | 348 | 0 | 0 | 6.53
2026-09-15T18:18:51.198Z,Thauan Lara,Geral,2023,CONMEBOL Libertadores,MP | MIN | GLS | AST | ASR,3 | 207 | 0 | 0 | 6.53
2026-09-15T18:18:51.264Z,Thauan Lara,Geral,2023,Copa Betano do Brasil,MP | MIN | GLS | AST | ASR,2 | 100 | 0 | 0 | 6.90
2026-09-15T18:18:51.415Z,Thauan Lara,Geral,2023,Gaúcho,MP | MIN | GLS | AST | ASR,4 | 239 | 0 | 0 | 7.08
2026-09-15T18:18:51.499Z,Thauan Lara,Geral,2022,Total do Ano,MP | MIN | GLS | AST | ASR,7 | 343 | 0 | 0 | 6.69
2026-09-15T18:18:51.581Z,Thauan Lara,Geral,2022,Brasileirão Betano,MP | MIN | GLS | AST | ASR,7 | 343 | 0 | 0 | 6.69
2026-09-15T18:18:51.664Z,Thauan Lara,Geral,2021,Total do Ano,MP | MIN | GLS | AST | ASR,1 | 10 | 0 | 0 | 6.30
2026-09-15T18:18:51.730Z,Thauan Lara,Geral,2021,Brasileirão Betano,MP | MIN | GLS | AST | ASR,1 | 10 | 0 | 0 | 6.30
2026-09-15T18:18:52.694Z,Thauan Lara,Finalização,26/27,Total do Ano,MP | GLS | TOS | SOT | BCM,3 | 0 | 1 | 1 | 0
2026-09-15T18:18:52.797Z,Thauan Lara,Finalização,26/27,Liga Portugal 2,MP | GLS | TOS | SOT | BCM,3 | 0 | 1 | 1 | 0
2026-09-15T18:18:52.896Z,Thauan Lara,Finalização,25/26,Total do Ano,MP | GLS | TOS | SOT | BCM,21 | 2 | 14 | 9 | 0
2026-09-15T18:18:52.975Z,Thauan Lara,Finalização,25/26,Liga Portugal 2,MP | GLS | TOS | SOT | BCM,18 | 2 | 14 | 9 | 0
2026-09-15T18:18:53.068Z,Thauan Lara,Finalização,25/26,U23 Liga Next Gen,MP | GLS | TOS | SOT | BCM,3 | 0 | - | - | 0
2026-09-15T18:18:53.170Z,Thauan Lara,Finalização,24/25,Total do Ano,MP | GLS | TOS | SOT | BCM,18 | 0 | 12 | 4 | 0
2026-09-15T18:18:53.258Z,Thauan Lara,Finalização,24/25,Liga Portugal 2,MP | GLS | TOS | SOT | BCM,18 | 0 | 12 | 4 | 0
2026-09-15T18:18:53.348Z,Thauan Lara,Finalização,2024,Total do Ano,MP | GLS | TOS | SOT | BCM,2 | 0 | 1 | 0 | 0
2026-09-15T18:18:53.439Z,Thauan Lara,Finalização,2024,Copa do Nordeste,MP | GLS | TOS | SOT | BCM,1 | 0 | 0 | 0 | 0
2026-09-15T18:18:53.503Z,Thauan Lara,Finalização,2024,Gaúcho,MP | GLS | TOS | SOT | BCM,1 | 0 | 1 | 0 | 0
2026-09-15T18:18:53.593Z,Thauan Lara,Finalização,2023,Total do Ano,MP | GLS | TOS | SOT | BCM,19 | 0 | 13 | 3 | 0
2026-09-15T18:18:53.755Z,Thauan Lara,Finalização,2023,Brasileirão Betano,MP | GLS | TOS | SOT | BCM,10 | 0 | 5 | 1 | 0
2026-09-15T18:18:53.867Z,Thauan Lara,Finalização,2023,CONMEBOL Libertadores,MP | GLS | TOS | SOT | BCM,3 | 0 | 3 | 0 | 0
2026-09-15T18:18:53.950Z,Thauan Lara,Finalização,2023,Copa Betano do Brasil,MP | GLS | TOS | SOT | BCM,2 | 0 | 3 | 1 | 0
2026-09-15T18:18:54.037Z,Thauan Lara,Finalização,2023,Gaúcho,MP | GLS | TOS | SOT | BCM,4 | 0 | 2 | 1 | 0
2026-09-15T18:18:54.148Z,Thauan Lara,Finalização,2022,Total do Ano,MP | GLS | TOS | SOT | BCM,7 | 0 | 5 | 2 | 0
2026-09-15T18:18:54.259Z,Thauan Lara,Finalização,2022,Brasileirão Betano,MP | GLS | TOS | SOT | BCM,7 | 0 | 5 | 2 | 0
2026-09-15T18:18:55.330Z,Thauan Lara,Jogo coletivo,26/27,Total do Ano,MP | AST | KEYP | BCC | SDR,3 | 0 | 1 | 0 | 1
2026-09-15T18:18:55.420Z,Thauan Lara,Jogo coletivo,26/27,Liga Portugal 2,MP | AST | KEYP | BCC | SDR,3 | 0 | 1 | 0 | 1
2026-09-15T18:18:55.500Z,Thauan Lara,Jogo coletivo,25/26,Total do Ano,MP | AST | KEYP | BCC | SDR,21 | 3 | 36 | 6 | 11
2026-09-15T18:18:55.583Z,Thauan Lara,Jogo coletivo,25/26,Liga Portugal 2,MP | AST | KEYP | BCC | SDR,18 | 3 | 36 | 6 | 11
