DataHora,Jogador,Categoria,Ano_Temporada,Competicao,Colunas_Metricas,Valores
2026-09-15T12:31:13.074Z,Thauan Lara,Geral,25/26,U23 Liga Next Gen,MP | MIN | GLS | AST | ASR,3 | 218 | 0 | 0 | -
2026-09-15T12:31:13.129Z,Thauan Lara,Geral,24/25,Total do Ano,MP | MIN | GLS | AST | ASR,18 | 1006 | 0 | 2 | 7.06
2026-09-15T12:31:13.161Z,Thauan Lara,Geral,24/25,Liga Portugal 2,MP | MIN | GLS | AST | ASR,18 | 1006 | 0 | 2 | 7.06
2026-09-15T12:31:13.218Z,Thauan Lara,Geral,2024,Total do Ano,MP | MIN | GLS | AST | ASR,2 | 174 | 0 | 0 | 6.80
2026-09-15T12:31:13.274Z,Thauan Lara,Geral,2024,Copa do Nordeste,MP | MIN | GLS | AST | ASR,1 | 84 | 0 | 0 | 6.90
2026-09-15T12:31:13.304Z,Thauan Lara,Geral,2024,Gaúcho,MP | MIN | GLS | AST | ASR,1 | 90 | 0 | 0 | 6.70
2026-09-15T12:31:13.362Z,Thauan Lara,Geral,2023,Total do Ano,MP | MIN | GLS | AST | ASR,19 | 894 | 0 | 0 | 6.69
2026-09-15T12:31:13.414Z,Thauan Lara,Geral,2023,Brasileirão Betano,MP | MIN | GLS | AST | ASR,10 | 348 | 0 | 0 | 6.53
2026-09-15T12:31:13.447Z,Thauan Lara,Geral,2023,CONMEBOL Libertadores,MP | MIN | GLS | AST | ASR,3 | 207 | 0 | 0 | 6.53
2026-09-15T12:31:13.503Z,Thauan Lara,Geral,2023,Copa Betano do Brasil,MP | MIN | GLS | AST | ASR,2 | 100 | 0 | 0 | 6.90
2026-09-15T12:31:13.556Z,Thauan Lara,Geral,2023,Gaúcho,MP | MIN | GLS | AST | ASR,4 | 239 | 0 | 0 | 7.08
2026-09-15T12:31:13.604Z,Thauan Lara,Geral,2022,Total do Ano,MP | MIN | GLS | AST | ASR,7 | 343 | 0 | 0 | 6.69
2026-09-15T12:31:13.663Z,Thauan Lara,Geral,2022,Brasileirão Betano,MP | MIN | GLS | AST | ASR,7 | 343 | 0 | 0 | 6.69
2026-09-15T12:31:13.738Z,Thauan Lara,Geral,2021,Total do Ano,MP | MIN | GLS | AST | ASR,1 | 10 | 0 | 0 | 6.30
2026-09-15T12:31:13.802Z,Thauan Lara,Geral,2021,Brasileirão Betano,MP | MIN | GLS | AST | ASR,1 | 10 | 0 | 0 | 6.30
2026-09-15T12:31:14.606Z,Thauan Lara,Finalização,26/27,Total do Ano,MP | GLS | TOS | SOT | BCM,3 | 0 | 1 | 1 | 0
2026-09-15T12:31:14.663Z,Thauan Lara,Finalização,26/27,Liga Portugal 2,MP | GLS | TOS | SOT | BCM,3 | 0 | 1 | 1 | 0
2026-09-15T12:31:14.722Z,Thauan Lara,Finalização,25/26,Total do Ano,MP | GLS | TOS | SOT | BCM,21 | 2 | 14 | 9 | 0
2026-09-15T12:31:14.754Z,Thauan Lara,Finalização,25/26,Liga Portugal 2,MP | GLS | TOS | SOT | BCM,18 | 2 | 14 | 9 | 0
2026-09-15T12:31:14.815Z,Thauan Lara,Finalização,25/26,U23 Liga Next Gen,MP | GLS | TOS | SOT | BCM,3 | 0 | - | - | 0
2026-09-15T12:31:14.872Z,Thauan Lara,Finalização,24/25,Total do Ano,MP | GLS | TOS | SOT | BCM,18 | 0 | 12 | 4 | 0
2026-09-15T12:31:14.903Z,Thauan Lara,Finalização,24/25,Liga Portugal 2,MP | GLS | TOS | SOT | BCM,18 | 0 | 12 | 4 | 0
2026-09-15T12:31:14.958Z,Thauan Lara,Finalização,2024,Total do Ano,MP | GLS | TOS | SOT | BCM,2 | 0 | 1 | 0 | 0
2026-09-15T12:31:15.018Z,Thauan Lara,Finalização,2024,Copa do Nordeste,MP | GLS | TOS | SOT | BCM,1 | 0 | 0 | 0 | 0
